"X","SPECIMEN","lat","long","year","ShortMonth","date","res","nmonth","nm","year_nm","long.aea","lat.aea","dem"
1,"CAS1121905",38.116306,-122.647245,2002,"oct","21-Oct","r",10,10,"2002_10",-231766.950399686,14345.9284022986,61
2,"CDA 30920",41.849,-123.223,2010,"aug","18-Aug","nr",8,8,"2010_08",-268065.970302752,430244.676420833,608
3,"CDA11818",38.647,-121.193,1990,"oct","4-Oct","nr",10,10,"1990_10",-103715.954516079,70755.6253015972,39
4,"CDA13594",40.25,-122.233,1996,"aug","17-Aug","nr",8,8,"1996_08",-189922.772152899,250464.496413639,167
5,"CDA17967",38.834,-121.218,1999,"oct","8-Oct","nr",10,10,"1999_10",-105622.237155966,91567.3221447757,118
6,"CDA23932",39.646,-121.786,2006,"aug","2-Aug","nr",8,8,"2006_08",-153173.184196411,182571.925906732,49
7,"CDA3371",39.583136,-121.455597,2002,"oct","17-Oct","r",10,10,"2002_10",-124946.462117907,175103.264394829,274
8,"CDA3372",38.25,-121.166,1996,"jul","23-Jul","nr",7,7,"1996_07",-101911.501920216,26598.8342348011,29
9,"CDA3373",39.62,-121.98,1999,"jun","4-Jun","nr",6,6,"1999_06",-169869.284945156,180014.076079624,31
10,"CDA3374",39.605,-121.548,1998,"jul","1-Jul","nr",7,7,"1998_07",-132837.860925947,177658.000406707,414
11,"CDA3376",35.70374,-118.458986,1972,"sep","23-Sep","nr",9,9,"1972_09",139285.893519271,-255898.166420262,824
12,"ce238",38.554273,-121.272068,2004,"dec","1-Dec","nr",12,12,"2004_12",-110727.788767384,60538.5859603928,36
13,"ce374",39.385396,-121.878547,2009,"oct","1-Oct","nr",10,10,"2009_10",-161683.047297921,153772.793372722,19
14,"ce569",37.281701,-120.862655,2011,"oct","19-Oct","nr",10,10,"2011_10",-76378.6083987795,-81321.7036408978,23
15,"ce642",38.5217,-121.1015,2012,"may","12-May","nr",5,5,"2012_05",-95923.3985150129,56732.1843799315,56
16,"CHSC100905",39.912,-121.956,1978,"aug","6-Aug","nr",8,8,"1978_08",-167141.285531163,212406.746607267,68
17,"CHSC102257",38.682494,-122.266405,2009,"oct","27-Oct","nr",10,10,"2009_10",-196926.7954547,76402.3369602491,205
18,"CHSC102399",39.761,-121.797,2009,"aug","13-Aug","nr",8,8,"2009_08",-153874.298664186,195364.886259301,81
19,"CHSC102526",38.51,-122.232,2009,"oct","12-Oct","r",10,10,"2009_10",-194389.276574873,57162.6616120711,197
20,"CHSC13711",39.718,-121.945,1974,"oct","11-Oct","nr",10,10,"1974_10",-166643.601485464,190838.439761789,39
21,"CHSC26717",39.75,-121.841,1977,"oct","23-Oct","nr",10,10,"1977_10",-157665.212274205,194215.25161867,62
22,"CHSC28460",39.628,-121.992,1979,"sep","23-Sep","nr",9,9,"1979_09",-170879.96951211,180924.350865626,34
23,"CHSC28952",39.801,-121.905,1978,"sep","8-Sep","nr",9,9,"1978_09",-163031.670183198,199988.657114982,55
24,"CHSC29272",39.49,-121.688,1979,"aug","17-Aug","nr",8,8,"1979_08",-145077.905291238,165086.504135893,39
25,"CHSC30744",39.837,-121.898,1980,"jul","6-Jul","nr",7,7,"1980_07",-162352.61980163,203975.452090938,67
26,"CHSC31521",39.352,-121.516,1972,"may","8-May","nr",5,5,"1972_05",-130541.619092642,149503.422182548,38
27,"CHSC37307",39.214,-121.804,1982,"may","30-May","nr",5,5,"1982_05",-155630.126096993,134604.159446704,223
28,"CHSC38255",39.763,-121.79,1983,"jun","18-Jun","nr",6,6,"1983_06",-153270.775895835,195575.716218767,87
29,"CHSC40492",39.898,-121.983,1982,"jun","10-Jun","nr",6,6,"1982_06",-169480.644784219,210899.69567587,64
30,"CHSC40638",39.69574,-121.559257,1985,"oct","12-Oct","r",10,10,"1985_10",-133637.957111494,187754.724046098,347
31,"CHSC42101",39.364,-121.631,1986,"nov","7-Nov","nr",11,11,"1986_11",-140420.300193799,151001.114406692,28
32,"CHSC42118",39.441,-121.649,1986,"nov","14-Nov","nr",11,11,"1986_11",-141821.028809686,159583.332559469,35
33,"CHSC47449",39.458,-121.606,1984,"aug","19-Aug","nr",8,8,"1984_08",-138091.205308173,161408.676792454,39
34,"CHSC47450",39.365,-121.522,1979,"may","20-May","nr",5,5,"1979_05",-131035.039412864,150956.182984521,38
35,"CHSC51002",39.519306,-121.342257,1990,"jul","4-Jul","nr",7,7,"1990_07",-115318.599530724,167867.785243031,306
36,"CHSC52180",39.87,-121.99,1987,"may","21-May","nr",5,5,"1987_05",-170144.111973259,207802.236035656,58
37,"CHSC60754",39.42444,-122.155,1993,"jun","9-Jun","nr",6,6,"1993_06",-185374.395467521,158616.611124441,25
38,"CHSC64917",40.334,-122.058,1995,"jun","13-Jun","nr",6,6,"1995_06",-174838.485018785,259454.780330427,216
39,"CHSC66091",39.99,-122.247,1996,"may","27-May","nr",5,5,"1996_05",-191797.695870561,221620.565426737,105
40,"CHSC71259",39.599,-121.542,1998,"jul","1-Jul","nr",7,7,"1998_07",-132333.873746712,176983.011005127,408
41,"CHSC76001",39.62,-121.98,1999,"aug","13-Aug","nr",8,8,"1999_08",-169869.284945156,180014.076079624,31
42,"CHSC80020",39.62055,-121.98055,1999,"jun","4-Jun","nr",6,6,"1999_06",-169915.187450115,180076.160691519,31
43,"CHSC80225",39.84,-122.296,2000,"may","23-May","nr",5,5,"2000_05",-196382.908062941,205061.643410074,134
44,"CHSC81129",39.783,-122.374,2001,"aug","22-Aug","r",8,8,"2001_08",-203211.636411545,198895.191207286,152
45,"CHSC81800",39.125,-120.421,2001,"oct","10-Oct","r",10,10,"2001_10",-36365.4419832161,123312.952380806,1618
46,"CHSC81801",39.05866,-121.305647,2001,"nov","2-Nov","r",11,11,"2001_11",-112878.459922927,116636.370454323,98
47,"CHSC83037",39.588,-121.094,2002,"oct","9-Oct","r",10,10,"2002_10",-93902.8375787536,175226.339502627,1093
48,"CHSC83087",39.582881,-121.455761,2002,"oct","17-Oct","r",10,10,"2002_10",-124960.97360003,175075.149379278,274
49,"CHSC84603",39.954,-122.047,2003,"sep","17-Sep","nr",9,9,"2003_09",-174815.372117497,217235.68777503,70
50,"CHSC87018",39.786,-122.538,1998,"jul","15-Jul","nr",7,7,"1998_07",-217237.678863892,199592.034749445,195
51,"CHSC89445",39.166,-122.528,2004,"oct","4-Oct","r",10,10,"2004_10",-218218.765743016,130698.394618694,461
